state,measure_id,observations,available_scores,completeness_pct,avg_readmission_score,denominator_weighted_score,total_denominator
AK,READM_30_AMI,23,4,17.4,13.82,13.32,584.0
AK,READM_30_CABG,23,1,4.3,11.5,11.5,118.0
AK,READM_30_COPD,23,8,34.8,19.64,19.53,525.0
AK,READM_30_HF,23,9,39.1,21.29,20.86,1214.0
AK,READM_30_HIP_KNEE,23,4,17.4,6.03,6.22,422.0
AK,READM_30_PN,23,14,60.9,16.95,16.86,1605.0
AL,READM_30_AMI,90,33,36.7,14.31,14.31,7238.0
AL,READM_30_CABG,90,19,21.1,11.67,11.58,3072.0
AL,READM_30_COPD,90,62,68.9,19.89,19.92,9284.0
AL,READM_30_HF,90,64,71.1,21.29,21.3,21819.0
AL,READM_30_HIP_KNEE,90,34,37.8,5.98,5.94,3917.0
AL,READM_30_PN,90,71,78.9,17.3,17.46,23714.0
AR,READM_30_AMI,80,27,33.8,14.43,14.43,5234.0
AR,READM_30_CABG,80,11,13.8,11.09,10.33,1694.0
AR,READM_30_COPD,80,40,50.0,19.7,19.95,6329.0
AR,READM_30_HF,80,46,57.5,21.64,21.73,13424.0
AR,READM_30_HIP_KNEE,80,12,15.0,6.04,6.06,834.0
AR,READM_30_PN,80,61,76.3,17.32,17.3,16524.0
AS,READM_30_AMI,1,0,0.0,,,
AS,READM_30_CABG,1,0,0.0,,,
AS,READM_30_COPD,1,0,0.0,,,
AS,READM_30_HF,1,0,0.0,,,
AS,READM_30_HIP_KNEE,1,0,0.0,,,
AS,READM_30_PN,1,0,0.0,,,
AZ,READM_30_AMI,87,42,48.3,14.41,14.57,11112.0
AZ,READM_30_CABG,87,20,23.0,11.46,11.46,2824.0
AZ,READM_30_COPD,87,54,62.1,19.85,20.01,9251.0
AZ,READM_30_HF,87,56,64.4,20.91,20.77,24852.0
AZ,READM_30_HIP_KNEE,87,36,41.4,5.8,5.61,4001.0
AZ,READM_30_PN,87,71,81.6,17.18,17.21,34098.0
CA,READM_30_AMI,337,182,54.0,14.43,14.3,40146.0
CA,READM_30_CABG,337,98,29.1,11.19,10.83,8937.0
CA,READM_30_COPD,337,261,77.4,19.94,20.04,34121.0
CA,READM_30_HF,337,273,81.0,21.41,21.32,112326.0
CA,READM_30_HIP_KNEE,337,177,52.5,5.61,5.33,23492.0
CA,READM_30_PN,337,289,85.8,17.7,17.83,122992.0
CO,READM_30_AMI,88,36,40.9,13.89,13.5,5775.0
CO,READM_30_CABG,88,15,17.0,10.15,9.98,1053.0
CO,READM_30_COPD,88,45,51.1,19.26,19.24,4758.0
CO,READM_30_HF,88,49,55.7,20.06,19.54,13639.0
CO,READM_30_HIP_KNEE,88,31,35.2,5.61,5.69,2552.0
CO,READM_30_PN,88,60,68.2,16.88,16.79,14943.0
CT,READM_30_AMI,28,16,57.1,14.43,14.62,4334.0
CT,READM_30_CABG,28,9,32.1,11.31,11.3,1155.0
CT,READM_30_COPD,28,26,92.9,20.22,20.49,5796.0
CT,READM_30_HF,28,26,92.9,21.2,21.08,17526.0
CT,READM_30_HIP_KNEE,28,15,53.6,5.7,5.69,1714.0
CT,READM_30_PN,28,26,92.9,17.72,18.05,19708.0
DC,READM_30_AMI,8,5,62.5,14.34,14.54,887.0
DC,READM_30_CABG,8,2,25.0,11.15,10.79,455.0
DC,READM_30_COPD,8,7,87.5,19.73,19.71,905.0
DC,READM_30_HF,8,7,87.5,21.56,20.94,3210.0
DC,READM_30_HIP_KNEE,8,5,62.5,5.56,5.57,326.0
DC,READM_30_PN,8,7,87.5,16.97,16.35,1935.0
DE,READM_30_AMI,8,6,75.0,14.67,15.0,1414.0
DE,READM_30_CABG,8,3,37.5,10.63,9.77,486.0
DE,READM_30_COPD,8,7,87.5,20.1,19.74,2217.0
DE,READM_30_HF,8,7,87.5,21.21,20.61,5539.0
DE,READM_30_HIP_KNEE,8,1,12.5,6.6,6.6,162.0
DE,READM_30_PN,8,7,87.5,17.44,17.2,5942.0
FL,READM_30_AMI,191,139,72.8,14.67,14.7,42415.0
FL,READM_30_CABG,191,71,37.2,11.26,11.02,11371.0
FL,READM_30_COPD,191,170,89.0,20.09,20.26,45852.0
FL,READM_30_HF,191,170,89.0,21.72,21.72,119443.0
FL,READM_30_HIP_KNEE,191,120,62.8,6.04,6.08,15953.0
FL,READM_30_PN,191,176,92.1,17.53,17.6,126967.0
GA,READM_30_AMI,136,60,44.1,14.35,14.18,13066.0
GA,READM_30_CABG,136,20,14.7,11.82,11.58,3467.0
GA,READM_30_COPD,136,86,63.2,19.84,19.89,15891.0
GA,READM_30_HF,136,89,65.4,21.19,21.03,46416.0
GA,READM_30_HIP_KNEE,136,41,30.1,5.93,5.86,2560.0
GA,READM_30_PN,136,104,76.5,17.41,17.42,40847.0
GU,READM_30_AMI,2,1,50.0,14.4,14.4,26.0
GU,READM_30_CABG,2,0,0.0,,,
GU,READM_30_COPD,2,1,50.0,19.8,19.8,54.0
GU,READM_30_HF,2,1,50.0,21.9,21.9,61.0
GU,READM_30_HIP_KNEE,2,0,0.0,,,
GU,READM_30_PN,2,1,50.0,17.0,17.0,68.0
HI,READM_30_AMI,23,8,34.8,14.19,14.11,1766.0
HI,READM_30_CABG,23,4,17.4,10.82,10.76,291.0
HI,READM_30_COPD,23,11,47.8,19.52,19.05,1217.0
HI,READM_30_HF,23,11,47.8,21.05,21.0,4309.0
HI,READM_30_HIP_KNEE,23,5,21.7,5.68,5.72,420.0
HI,READM_30_PN,23,12,52.2,16.64,16.75,5968.0
IA,READM_30_AMI,114,22,19.3,14.3,14.23,4628.0
IA,READM_30_CABG,114,9,7.9,10.58,10.47,1219.0
IA,READM_30_COPD,114,43,37.7,19.68,19.61,4629.0
IA,READM_30_HF,114,56,49.1,21.18,21.24,11832.0
IA,READM_30_HIP_KNEE,114,23,20.2,5.7,5.59,2617.0
IA,READM_30_PN,114,92,80.7,16.98,17.15,14929.0
ID,READM_30_AMI,44,9,20.5,13.18,12.93,2494.0
ID,READM_30_CABG,44,5,11.4,10.32,10.26,525.0
ID,READM_30_COPD,44,16,36.4,19.32,19.2,1632.0
ID,READM_30_HF,44,20,45.5,20.28,19.39,4599.0
ID,READM_30_HIP_KNEE,44,10,22.7,5.55,5.53,644.0
ID,READM_30_PN,44,29,65.9,16.7,16.29,5081.0
IL,READM_30_AMI,177,85,48.0,14.43,14.38,15133.0
IL,READM_30_CABG,177,44,24.9,11.3,11.03,4546.0
IL,READM_30_COPD,177,138,78.0,20.07,20.27,20390.0
IL,READM_30_HF,177,134,75.7,21.51,21.43,57360.0
IL,READM_30_HIP_KNEE,177,58,32.8,5.98,5.86,6746.0
IL,READM_30_PN,177,160,90.4,17.5,17.68,57330.0
IN,READM_30_AMI,117,49,41.9,14.24,14.1,10190.0
IN,READM_30_CABG,117,24,20.5,10.8,10.65,2552.0
IN,READM_30_COPD,117,89,76.1,19.64,19.68,13649.0
IN,READM_30_HF,117,92,78.6,20.96,21.08,31313.0
IN,READM_30_HIP_KNEE,117,38,32.5,5.69,5.37,3311.0
IN,READM_30_PN,117,104,88.9,16.99,17.05,37353.0
KS,READM_30_AMI,134,25,18.7,13.99,13.77,3680.0
KS,READM_30_CABG,134,13,9.7,10.51,9.92,1353.0
KS,READM_30_COPD,134,41,30.6,19.59,19.46,3575.0
KS,READM_30_HF,134,49,36.6,21.02,20.74,10399.0
KS,READM_30_HIP_KNEE,134,25,18.7,5.86,5.27,3926.0
KS,READM_30_PN,134,76,56.7,17.15,17.01,13406.0
KY,READM_30_AMI,93,36,38.7,14.42,14.3,8290.0
KY,READM_30_CABG,93,13,14.0,10.55,10.71,2371.0
KY,READM_30_COPD,93,72,77.4,19.89,20.13,11676.0
KY,READM_30_HF,93,66,71.0,21.36,21.34,22745.0
KY,READM_30_HIP_KNEE,93,19,20.4,6.14,6.25,1440.0
KY,READM_30_PN,93,81,87.1,17.37,17.51,28533.0
LA,READM_30_AMI,115,34,29.6,14.58,14.6,7774.0
LA,READM_30_CABG,115,21,18.3,11.93,11.98,2755.0
LA,READM_30_COPD,115,65,56.5,19.78,19.69,8422.0
LA,READM_30_HF,115,65,56.5,21.73,21.65,23506.0
LA,READM_30_HIP_KNEE,115,18,15.7,5.92,5.75,1151.0
LA,READM_30_PN,115,78,67.8,17.35,17.41,18996.0
MA,READM_30_AMI,65,35,53.8,14.76,14.84,9156.0
MA,READM_30_CABG,65,13,20.0,10.82,10.78,2044.0
MA,READM_30_COPD,65,51,78.5,20.36,20.44,12856.0
MA,READM_30_HF,65,53,81.5,22.03,22.0,36479.0
MA,READM_30_HIP_KNEE,65,44,67.7,5.71,5.32,9823.0
MA,READM_30_PN,65,54,83.1,17.81,17.92,37749.0
MD,READM_30_AMI,48,33,68.8,14.38,14.4,5440.0
MD,READM_30_CABG,48,11,22.9,10.61,10.55,1412.0
MD,READM_30_COPD,48,42,87.5,19.49,19.57,9655.0
MD,READM_30_HF,48,42,87.5,20.45,20.35,20658.0
MD,READM_30_HIP_KNEE,48,25,52.1,5.81,5.84,1866.0
MD,READM_30_PN,48,42,87.5,16.9,16.93,18451.0
ME,READM_30_AMI,32,9,28.1,13.79,12.78,2707.0
ME,READM_30_CABG,32,3,9.4,10.37,9.94,710.0
ME,READM_30_COPD,32,26,81.3,19.76,19.64,2410.0
ME,READM_30_HF,32,25,78.1,21.18,20.86,5743.0
ME,READM_30_HIP_KNEE,32,9,28.1,5.79,5.62,549.0
ME,READM_30_PN,32,30,93.8,17.19,17.1,6408.0
